1,Acauã,PI
2,Agricolândia,PI
3,Água Branca,PI
4,Alagoinha do Piauí,PI
5,Alegrete do Piauí,PI
6,Alto Longá,PI
7,Altos,PI
8,Alvorada do Gurgueia,PI
9,Amarante,PI
10,Angical do Piauí,PI
11,Anísio de Abreu,PI
12,Antônio Almeida,PI
13,Aroazes,PI
14,Aroeiras do Itaim,PI
15,Arraial,PI
16,Assunção do Piauí,PI
17,Avelino Lopes,PI
18,Baixa Grande do Ribeiro,PI
19,Barra d'Alcântara,PI
20,Barras,PI
21,Barreiras do Piauí,PI
22,Barro Duro,PI
23,Batalha,PI
24,Bela Vista do Piauí,PI
25,Belém do Piauí,PI
26,Beneditinos,PI
27,Bertolínia,PI
28,Betânia do Piauí,PI
29,Boa Hora,PI
30,Bocaina,PI
31,Bom Jesus,PI
32,Bom Princípio do Piauí,PI
33,Bonfim do Piauí,PI
34,Boqueirão do Piauí,PI
35,Brasileira,PI
36,Brejo do Piauí,PI
37,Buriti dos Lopes,PI
38,Buriti dos Montes,PI
39,Cabeceiras do Piauí,PI
40,Cajazeiras do Piauí,PI
41,Cajueiro da Praia,PI
42,Caldeirão Grande do Piauí,PI
43,Campinas do Piauí,PI
44,Campo Alegre do Fidalgo,PI
45,Campo Grande do Piauí,PI
46,Campo Largo do Piauí,PI
47,Campo Maior,PI
48,Canavieira,PI
49,Canto do Buriti,PI
50,Capitão de Campos,PI
51,Capitão Gervásio Oliveira,PI
52,Caracol,PI
53,Caraúbas do Piauí,PI
54,Caridade do Piauí,PI
55,Castelo do Piauí,PI
56,Caxingó,PI
57,Cocal,PI
58,Cocal de Telha,PI
59,Cocal dos Alves,PI
60,Coivaras,PI
61,Colônia do Gurgueia,PI
62,Colônia do Piauí,PI
63,Conceição do Canindé,PI
64,Coronel José Dias,PI
65,Corrente,PI
66,Cristalândia do Piauí,PI
67,Cristino Castro,PI
68,Curimatá,PI
69,Currais,PI
70,Curral Novo do Piauí,PI
71,Curralinhos,PI
72,Demerval Lobão,PI
73,Dirceu Arcoverde,PI
74,Dom Expedito Lopes,PI
75,Dom Inocêncio,PI
76,Domingos Mourão,PI
77,Elesbão Veloso,PI
78,Eliseu Martins,PI
79,Esperantina,PI
80,Fartura do Piauí,PI
81,Flores do Piauí,PI
82,Floresta do Piauí,PI
83,Floriano,PI
84,Francinópolis,PI
85,Francisco Ayres,PI
86,Francisco Macedo,PI
87,Francisco Santos,PI
88,Fronteiras,PI
89,Geminiano,PI
90,Gilbués,PI
91,Guadalupe,PI
92,Guaribas,PI
93,Hugo Napoleão,PI
94,Ilha Grande,PI
95,Inhuma,PI
96,Ipiranga do Piauí,PI
97,Isaías Coelho,PI
98,Itainópolis,PI
99,Itaueira,PI
100,Jacobina do Piauí,PI
101,Jaicós,PI
102,Jardim do Mulato,PI
103,Jatobá do Piauí,PI
104,Jerumenha,PI
105,João Costa,PI
106,Joaquim Pires,PI
107,Joca Marques,PI
108,José de Freitas,PI
109,Juazeiro do Piauí,PI
110,Júlio Borges,PI
111,Jurema,PI
112,Lagoa Alegre,PI
113,Lagoa de São Francisco,PI
114,Lagoa do Barro do Piauí,PI
115,Lagoa do Piauí,PI
116,Lagoa do Sítio,PI
117,Lagoinha do Piauí,PI
118,Landri Sales,PI
119,Luís Correia,PI
120,Luzilândia,PI
121,Madeiro,PI
122,Manoel Emídio,PI
123,Marcolândia,PI
124,Marcos Parente,PI
125,Massapê do Piauí,PI
126,Matias Olímpio,PI
127,Miguel Alves,PI
128,Miguel Leão,PI
129,Milton Brandão,PI
130,Monsenhor Gil,PI
131,Monsenhor Hipólito,PI
132,Monte Alegre do Piauí,PI
133,Morro Cabeça no Tempo,PI
134,Morro do Chapéu do Piauí,PI
135,Murici dos Portelas,PI
136,Nazaré do Piauí,PI
137,Nazária,PI
138,Nossa Senhora de Nazaré,PI
139,Nossa Senhora dos Remédios,PI
140,Nova Santa Rita,PI
141,Novo Oriente do Piauí,PI
142,Novo Santo Antônio,PI
143,Oeiras,PI
144,Olho d'Água do Piauí,PI
145,Padre Marcos,PI
146,Paes Landim,PI
147,Pajeú do Piauí,PI
148,Palmeira do Piauí,PI
149,Palmeirais,PI
150,Paquetá,PI
151,Parnaguá,PI
152,Parnaíba,PI
153,Passagem Franca do Piauí,PI
154,Patos do Piauí,PI
155,Pau-d'Arco do Piauí,PI
156,Paulistana,PI
157,Pavussu,PI
158,Pedro II,PI
159,Pedro Laurentino,PI
160,Picos,PI
161,Pimenteiras,PI
162,Pio IX,PI
163,Piracuruca,PI
164,Piripiri,PI
165,Porto,PI
166,Porto Alegre do Piauí,PI
167,Prata do Piauí,PI
168,Queimada Nova,PI
169,Redenção do Gurgueia,PI
170,Regeneração,PI
171,Riacho Frio,PI
172,Ribeira do Piauí,PI
173,Ribeiro Gonçalves,PI
174,Rio Grande do Piauí,PI
175,Santa Cruz do Piauí,PI
176,Santa Cruz dos Milagres,PI
177,Santa Filomena,PI
178,Santa Luz,PI
179,Santa Rosa do Piauí,PI
180,Santana do Piauí,PI
181,Santo Antônio de Lisboa,PI
182,Santo Antônio dos Milagres,PI
183,Santo Inácio do Piauí,PI
184,São Braz do Piauí,PI
185,São Félix do Piauí,PI
186,São Francisco de Assis do Piauí,PI
187,São Francisco do Piauí,PI
188,São Gonçalo do Gurguéia,PI
189,São Gonçalo do Piauí,PI
190,São João da Canabrava,PI
191,São João da Fronteira,PI
192,São João da Serra,PI
193,São João da Varjota,PI
194,São João do Arraial,PI
195,São João do Piauí,PI
196,São José do Divino,PI
197,São José do Peixe,PI
198,São José do Piauí,PI
199,São Julião,PI
200,São Lourenço do Piauí,PI
201,São Luis do Piauí,PI
202,São Miguel da Baixa Grande,PI
203,São Miguel do Fidalgo,PI
204,São Miguel do Tapuio,PI
205,São Pedro do Piauí,PI
206,São Raimundo Nonato,PI
207,Sebastião Barros,PI
208,Sebastião Leal,PI
209,Sigefredo Pacheco,PI
210,Simões,PI
211,Simplício Mendes,PI
212,Socorro do Piauí,PI
213,Sussuapara,PI
214,Tamboril do Piauí,PI
215,Tanque do Piauí,PI
216,Teresina,PI
217,União,PI
218,Uruçuí,PI
219,Valença do Piauí,PI
220,Várzea Branca,PI
221,Várzea Grande,PI
222,Vera Mendes,PI
223,Vila Nova do Piauí,PI
224,Wall Ferraz,PI
